Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 129
HEX 1 : 40CB22D1	41572B02	409B0A3D	
DEC 1 : 6.348000	13.448000	4.845000	
HEX 2 : 40E7B646	4151851F	40951687	
DEC 2 : 7.241000	13.095000	4.659000	
HEX 3 : 40C820C5	415FDB23	40811687	
DEC 3 : 6.254000	13.991000	4.034000	
HEX 4 : 40AD78D5	4155C6A8	413E20C5	
DEC 4 : 5.421000	13.361000	11.883000	
HEX 5 : 413DF3B6	4189EB85	4134D4FE	
DEC 5 : 11.872000	17.240000	11.302000	
HEX 6 : 413A0831	4182D0E5	413A1062	
DEC 6 : 11.627000	16.351999	11.629000	
HEX 7 : 4136AC08	418E72B0	413F374C	
DEC 7 : 11.417000	17.806000	11.951000	
HEX 8 : 411BC6A8	41860A3D	40E85A1D	
DEC 8 : 9.736000	16.754999	7.261000	
HEX 9 : 4114E560	418C9BA6	40F2B021	
DEC 9 : 9.306000	17.576000	7.584000	
HEX 10 : 4116C8B4	4186353F	40CA872B	
DEC 10 : 9.424000	16.775999	6.329000	
HEX 11 : 4135AE14	415A8B44	4114E979	
DEC 11 : 11.355000	13.659000	9.307000	
HEX 12 : 411DEB85	4165B22D	4108C8B4	
DEC 12 : 9.870000	14.356000	8.549000	
HEX 13 : 411DA1CB	415E624E	40F5D2F2	
DEC 13 : 9.852000	13.899000	7.682000	
HEX 14 : 411CD4FE	41749375	41038D50	
DEC 14 : 9.802000	15.286000	8.222000	
HEX 15 : 410D7CEE	4162F1AA	4131374C	
DEC 15 : 8.843000	14.184000	11.076000	
HEX 16 : 4105126F	4155E76D	4131B22D	
DEC 16 : 8.317000	13.369000	11.106000	
HEX 17 : 41126666	4162E979	41223958	
DEC 17 : 9.150000	14.182000	10.139000	
HEX 18 : 40BAA7F0	4148E979	41150A3D	
DEC 18 : 5.833000	12.557000	9.315000	
HEX 19 : 402D70A4	414D8106	411D74BC	
DEC 19 : 2.710000	12.844000	9.841000	
HEX 20 : 4043A5E3	41419581	4114B852	
DEC 20 : 3.057000	12.099000	9.295000	
HEX 21 : 40621CAC	41556873	41209BA6	
DEC 21 : 3.533000	13.338000	10.038000	
HEX 22 : 3FFDB22D	41809DB2	40283127	
DEC 22 : 1.982000	16.077000	2.628000	
HEX 23 : 403CCCCD	41819FBE	401EC8B4	
DEC 23 : 2.950000	16.202999	2.481000	
HEX 24 : 3FE7AE14	417522D1	400322D1	
DEC 24 : 1.810000	15.321000	2.049000	
HEX 25 : 409245A2	4184645A	3FF91687	
DEC 25 : 4.571000	16.549000	1.946000	
HEX 26 : 40A1F3B6	418AE354	400D3F7D	
DEC 26 : 5.061000	17.361000	2.207000	
HEX 27 : 40A73333	417DAE14	400C5A1D	
DEC 27 : 5.225000	15.855000	2.193000	
HEX 28 : 413828F6	41817EFA	40CF851F	
DEC 28 : 11.510000	16.187000	6.485000	
HEX 29 : 410DDB23	414D4396	406A4DD3	
DEC 29 : 8.866000	12.829000	3.661000	
HEX 30 : 4110E148	41555810	40360419	
DEC 30 : 9.055000	13.334000	2.844000	
HEX 31 : 41184DD3	41532F1B	40895810	
DEC 31 : 9.519000	13.199000	4.292000	
HEX 32 : 3FB1EB85	41971062	403926E9	
DEC 32 : 1.390000	18.882999	2.893000	
HEX 33 : 3FDE5604	418FC083	40354FDF	
DEC 33 : 1.737000	17.969000	2.833000	
HEX 34 : 4003D70A	419B0C4A	40181062	
DEC 34 : 2.060000	19.381001	2.376000	
HEX 35 : 41261062	41527AE1	40C245A2	
DEC 35 : 10.379000	13.155000	6.071000	
HEX 36 : 41214BC7	4143B646	40C83127	
DEC 36 : 10.081000	12.232000	6.256000	
HEX 37 : 4135645A	41515C29	40C7BE77	
DEC 37 : 11.337000	13.085000	6.242000	
HEX 38 : 406B22D1	41851687	40C10625	
DEC 38 : 3.674000	16.636000	6.032000	
HEX 39 : 402E24DD	4186D917	40BFBE77	
DEC 39 : 2.721000	16.856001	5.992000	
HEX 40 : 40683127	417A8312	40BD4FDF	
DEC 40 : 3.628000	15.657000	5.916000	
HEX 41 : 409B6C8B	416A0419	412A45A2	
DEC 41 : 4.857000	14.626000	10.642000	
HEX 42 : 4084A3D7	41741893	412E3D71	
DEC 42 : 4.145000	15.256000	10.890000	
HEX 43 : 40B3BE77	4173BA5E	4128B852	
DEC 43 : 5.617000	15.233000	10.545000	
HEX 44 : 40391687	4182FBE7	4135CAC1	
DEC 44 : 2.892000	16.372999	11.362000	
HEX 45 : 401A8F5C	4189BC6A	413378D5	
DEC 45 : 2.415000	17.216999	11.217000	
HEX 46 : 400E45A2	417E9FBE	413EAC08	
DEC 46 : 2.223000	15.914000	11.917000	
HEX 47 : 40B26E98	41502D0E	40F0624E	
DEC 47 : 5.576000	13.011000	7.512000	
HEX 48 : 409722D1	41574396	40EB5C29	
DEC 48 : 4.723000	13.454000	7.355000	
HEX 49 : 40C25604	4155CAC1	40D7D70A	
DEC 49 : 6.073000	13.362000	6.745000	
HEX 50 : 410FD2F2	41891687	4095A1CB	
DEC 50 : 8.989000	17.136000	4.676000	
HEX 51 : 4113D2F2	4186F5C3	40710625	
DEC 51 : 9.239000	16.870001	3.766000	
HEX 52 : 410045A2	4187C083	4094FDF4	
DEC 52 : 8.017000	16.969000	4.656000	
HEX 53 : 40E56042	41836E98	412B4396	
DEC 53 : 7.168000	16.429001	10.704000	
HEX 54 : 40FB9581	417C45A2	412E624E	
DEC 54 : 7.862000	15.767000	10.899000	
HEX 55 : 40F54FDF	418A2D0E	412CF5C3	
DEC 55 : 7.666000	17.271999	10.810000	
HEX 56 : 40C83958	4187A3D7	409A6E98	
DEC 56 : 6.257000	16.955000	4.826000	
HEX 57 : 40AC8312	41858312	40A60419	
DEC 57 : 5.391000	16.688999	5.188000	
HEX 58 : 40C8F5C3	418F1893	40A3E76D	
DEC 58 : 6.280000	17.886999	5.122000	
HEX 59 : 406C5A1D	415EED91	40B449BA	
DEC 59 : 3.693000	13.933000	5.634000	
HEX 60 : 40448B44	41534FDF	40AD47AE	
DEC 60 : 3.071000	13.207000	5.415000	
HEX 61 : 409028F6	415A3958	40A5999A	
DEC 61 : 4.505000	13.639000	5.175000	
HEX 62 : 4117EB85	41BAA7F0	4131A9FC	
DEC 62 : 9.495000	23.332001	11.104000	
HEX 63 : 410BC6A8	41B5B852	41331687	
DEC 63 : 8.736000	22.715000	11.193000	
HEX 64 : 412178D5	41B75604	413C0419	
DEC 64 : 10.092000	22.917000	11.751000	
HEX 65 : 41283958	41BF353F	4108ED91	
DEC 65 : 10.514000	23.900999	8.558000	
HEX 66 : 41241893	41BDB646	4117C6A8	
DEC 66 : 10.256000	23.714001	9.486000	
HEX 67 : 41146666	41AA020C	409EF1AA	
DEC 67 : 9.275000	21.250999	4.967000	
HEX 68 : 411AF9DB	41AFA7F0	408D78D5	
DEC 68 : 9.686000	21.957001	4.421000	
HEX 69 : 410624DD	41A9B021	4091D2F2	
DEC 69 : 8.384000	21.211000	4.557000	
HEX 70 : 406C3958	41ABD4FE	40D52F1B	
DEC 70 : 3.691000	21.479000	6.662000	
HEX 71 : 407F0A3D	41A4CAC1	40DF2B02	
DEC 71 : 3.985000	20.599001	6.974000	
HEX 72 : 403AB021	41A97CEE	40C3CED9	
DEC 72 : 2.917000	21.186001	6.119000	
HEX 73 : 40B8AC08	41989168	4014AC08	
DEC 73 : 5.771000	19.070999	2.323000	
HEX 74 : 40C1BA5E	419E147B	403D6042	
DEC 74 : 6.054000	19.760000	2.959000	
HEX 75 : 40D3D70A	4197A1CB	3FEC49BA	
DEC 75 : 6.620000	18.954000	1.846000	
HEX 76 : 4104B021	41984FDF	40FF851F	
DEC 76 : 8.293000	19.039000	7.985000	
HEX 77 : 410AED91	419F851F	40FDBA5E	
DEC 77 : 8.683000	19.940001	7.929000	
HEX 78 : 410276C9	4197A9FC	410F3B64	
DEC 78 : 8.154000	18.958000	8.952000	
HEX 79 : 3FF7CED9	41A9872B	4138A7F0	
DEC 79 : 1.936000	21.191000	11.541000	
HEX 80 : 3FB00000	41AFBE77	413BF7CF	
DEC 80 : 1.375000	21.968000	11.748000	
HEX 81 : 401D9168	41AC8937	412CCCCD	
DEC 81 : 2.462000	21.566999	10.800000	
HEX 82 : 3FAD0E56	4194C083	412C9FBE	
DEC 82 : 1.352000	18.594000	10.789000	
HEX 83 : 3FD6C8B4	419B9FBE	41324DD3	
DEC 83 : 1.678000	19.452999	11.144000	
HEX 84 : 3EDEB852	4194F9DB	41328B44	
DEC 84 : 0.435000	18.622000	11.159000	
HEX 85 : 412B2B02	41A7A5E3	413A7EFA	
DEC 85 : 10.698000	20.955999	11.656000	
HEX 86 : 410547AE	41978D50	412C6A7F	
DEC 86 : 8.330000	18.944000	10.776000	
HEX 87 : 40FD6873	419DF1AA	4132C083	
DEC 87 : 7.919000	19.743000	11.172000	
HEX 88 : 4113C28F	419A5810	412A45A2	
DEC 88 : 9.235000	19.292999	10.642000	
HEX 89 : 408F0A3D	41BB999A	409C49BA	
DEC 89 : 4.470000	23.450001	4.884000	
HEX 90 : 40895810	41B61EB8	40B20419	
DEC 90 : 4.292000	22.764999	5.563000	
HEX 91 : 413B6873	41BF7CEE	40C1BA5E	
DEC 91 : 11.713000	23.936001	6.054000	
HEX 92 : 4136E148	41BF49BA	40DFC6A8	
DEC 92 : 11.430000	23.910999	6.993000	
HEX 93 : 412E0C4A	41988B44	40ACDD2F	
DEC 93 : 10.878000	19.068001	5.402000	
HEX 94 : 4122E979	41933958	40A67EFA	
DEC 94 : 10.182000	18.403000	5.203000	
HEX 95 : 41259168	419F1CAC	40A96873	
DEC 95 : 10.348000	19.889000	5.294000	
HEX 96 : 40B147AE	41B62D0E	412AD917	
DEC 96 : 5.540000	22.771999	10.678000	
HEX 97 : 40ADDB23	41BDF3B6	412B8937	
DEC 97 : 5.433000	23.743999	10.721000	
HEX 98 : 409645A2	41B42D0E	41241062	
DEC 98 : 4.696000	22.521999	10.254000	
HEX 99 : 4047CED9	41B2EF9E	41147EFA	
DEC 99 : 3.122000	22.367001	9.281000	
HEX 100 : 401D1EB8	41B7F5C3	410F645A	
DEC 100 : 2.455000	22.995001	8.962000	
HEX 101 : 405C5A1D	41B03127	4106B439	
DEC 101 : 3.443000	22.024000	8.419000	
HEX 102 : 40022D0E	41B676C9	40004189	
DEC 102 : 2.034000	22.808001	2.004000	
HEX 103 : 4014ED91	41AF1062	3FEEB852	
DEC 103 : 2.327000	21.882999	1.865000	
HEX 104 : 402B020C	41B8872B	402C0831	
DEC 104 : 2.672000	23.066000	2.688000	
HEX 105 : 40F1D2F2	41AAFBE7	413CB439	
DEC 105 : 7.557000	21.372999	11.794000	
HEX 106 : 40DAB021	41AF1062	41359DB2	
DEC 106 : 6.834000	21.882999	11.351000	
HEX 107 : 41168312	41AC374C	40F66E98	
DEC 107 : 9.407000	21.527000	7.701000	
HEX 108 : 4115CAC1	41AC3333	40D6F9DB	
DEC 108 : 9.362000	21.525000	6.718000	
HEX 109 : 411C4DD3	41B36666	40FBBE77	
DEC 109 : 9.769000	22.424999	7.867000	
HEX 110 : 40A39581	41B46E98	3FDC28F6	
DEC 110 : 5.112000	22.554001	1.720000	
HEX 111 : 40BEB021	41B122D1	3FB74BC7	
DEC 111 : 5.959000	22.142000	1.432000	
HEX 112 : 40A8AC08	41BBD4FE	3FBA7EFA	
DEC 112 : 5.271000	23.479000	1.457000	
HEX 113 : 4125F7CF	41BB7CEE	406FEF9E	
DEC 113 : 10.373000	23.436001	3.749000	
HEX 114 : 412E978D	41BCBE77	40920419	
DEC 114 : 10.912000	23.593000	4.563000	
HEX 115 : 41288312	41A36A7F	411FB22D	
DEC 115 : 10.532000	20.427000	9.981000	
HEX 116 : 4121CED9	41A77EFA	41141062	
DEC 116 : 10.113000	20.937000	9.254000	
HEX 117 : 4135A9FC	41A15810	411828F6	
DEC 117 : 11.354000	20.167999	9.510000	
HEX 118 : 40821CAC	4196FDF4	40F22D0E	
DEC 118 : 4.066000	18.874001	7.568000	
HEX 119 : 408CFDF4	4193C6A8	4106978D	
DEC 119 : 4.406000	18.472000	8.412000	
HEX 120 : 407CED91	4190645A	40E1374C	
DEC 120 : 3.952000	18.049000	7.038000	
HEX 121 : 409C6A7F	418D3D71	411C7AE1	
DEC 121 : 4.888000	17.655001	9.780000	
HEX 122 : 40B83958	418A999A	41218937	
DEC 122 : 5.757000	17.325001	10.096000	
HEX 123 : 408978D5	418A645A	412774BC	
DEC 123 : 4.296000	17.299000	10.466000	
HEX 124 : 40CA5E35	419B28F6	40C3A5E3	
DEC 124 : 6.324000	19.395000	6.114000	
HEX 125 : 40B1DB23	419A76C9	40D6F9DB	
DEC 125 : 5.558000	19.308001	6.718000	
HEX 126 : 40E1FBE7	4199A1CB	40D7AE14	
DEC 126 : 7.062000	19.204000	6.740000	
HEX 127 : 40D3020C	41A920C5	40820419	
DEC 127 : 6.594000	21.141001	4.063000	
HEX 128 : 40BCBC6A	41AE9168	40833B64	
DEC 128 : 5.898000	21.820999	4.101000	
HEX 129 : 40CD78D5	41A4E76D	409C20C5	
DEC 129 : 6.421000	20.613001	4.879000	
130 : 0.000000	0.000000	0.000000	
131 : 0.000000	0.000000	0.000000	
132 : 0.000000	0.000000	0.000000	
133 : 0.000000	0.000000	0.000000	
134 : 0.000000	0.000000	0.000000	
135 : 0.000000	0.000000	0.000000	
136 : 0.000000	0.000000	0.000000	
137 : 0.000000	0.000000	0.000000	
138 : 0.000000	0.000000	0.000000	
139 : 0.000000	0.000000	0.000000	
140 : 0.000000	0.000000	0.000000	
141 : 0.000000	0.000000	0.000000	
142 : 0.000000	0.000000	0.000000	
143 : 0.000000	0.000000	0.000000	
144 : 0.000000	0.000000	0.000000	
145 : 0.000000	0.000000	0.000000	
146 : 0.000000	0.000000	0.000000	
147 : 0.000000	0.000000	0.000000	
148 : 0.000000	0.000000	0.000000	
149 : 0.000000	0.000000	0.000000	
150 : 0.000000	0.000000	0.000000	
151 : 0.000000	0.000000	0.000000	
152 : 0.000000	0.000000	0.000000	
153 : 0.000000	0.000000	0.000000	
154 : 0.000000	0.000000	0.000000	
155 : 0.000000	0.000000	0.000000	
156 : 0.000000	0.000000	0.000000	
157 : 0.000000	0.000000	0.000000	
158 : 0.000000	0.000000	0.000000	
159 : 0.000000	0.000000	0.000000	
160 : 0.000000	0.000000	0.000000	
161 : 0.000000	0.000000	0.000000	
162 : 0.000000	0.000000	0.000000	
163 : 0.000000	0.000000	0.000000	
164 : 0.000000	0.000000	0.000000	
165 : 0.000000	0.000000	0.000000	
166 : 0.000000	0.000000	0.000000	
167 : 0.000000	0.000000	0.000000	
168 : 0.000000	0.000000	0.000000	
169 : 0.000000	0.000000	0.000000	
170 : 0.000000	0.000000	0.000000	
171 : 0.000000	0.000000	0.000000	
172 : 0.000000	0.000000	0.000000	
173 : 0.000000	0.000000	0.000000	
174 : 0.000000	0.000000	0.000000	
175 : 0.000000	0.000000	0.000000	
176 : 0.000000	0.000000	0.000000	
177 : 0.000000	0.000000	0.000000	
178 : 0.000000	0.000000	0.000000	
179 : 0.000000	0.000000	0.000000	
180 : 0.000000	0.000000	0.000000	
181 : 0.000000	0.000000	0.000000	
182 : 0.000000	0.000000	0.000000	
183 : 0.000000	0.000000	0.000000	
184 : 0.000000	0.000000	0.000000	
185 : 0.000000	0.000000	0.000000	
186 : 0.000000	0.000000	0.000000	
187 : 0.000000	0.000000	0.000000	
188 : 0.000000	0.000000	0.000000	
189 : 0.000000	0.000000	0.000000	
190 : 0.000000	0.000000	0.000000	
191 : 0.000000	0.000000	0.000000	
192 : 0.000000	0.000000	0.000000	
193 : 0.000000	0.000000	0.000000	
194 : 0.000000	0.000000	0.000000	
195 : 0.000000	0.000000	0.000000	
196 : 0.000000	0.000000	0.000000	
197 : 0.000000	0.000000	0.000000	
198 : 0.000000	0.000000	0.000000	
199 : 0.000000	0.000000	0.000000	
200 : 0.000000	0.000000	0.000000	
201 : 0.000000	0.000000	0.000000	
202 : 0.000000	0.000000	0.000000	
203 : 0.000000	0.000000	0.000000	
204 : 0.000000	0.000000	0.000000	
205 : 0.000000	0.000000	0.000000	
206 : 0.000000	0.000000	0.000000	
207 : 0.000000	0.000000	0.000000	
208 : 0.000000	0.000000	0.000000	
209 : 0.000000	0.000000	0.000000	
210 : 0.000000	0.000000	0.000000	
211 : 0.000000	0.000000	0.000000	
212 : 0.000000	0.000000	0.000000	
213 : 0.000000	0.000000	0.000000	
214 : 0.000000	0.000000	0.000000	
215 : 0.000000	0.000000	0.000000	
216 : 0.000000	0.000000	0.000000	
217 : 0.000000	0.000000	0.000000	
218 : 0.000000	0.000000	0.000000	
219 : 0.000000	0.000000	0.000000	
220 : 0.000000	0.000000	0.000000	
221 : 0.000000	0.000000	0.000000	
222 : 0.000000	0.000000	0.000000	
223 : 0.000000	0.000000	0.000000	
224 : 0.000000	0.000000	0.000000	
225 : 0.000000	0.000000	0.000000	
226 : 0.000000	0.000000	0.000000	
227 : 0.000000	0.000000	0.000000	
228 : 0.000000	0.000000	0.000000	
229 : 0.000000	0.000000	0.000000	
230 : 0.000000	0.000000	0.000000	
231 : 0.000000	0.000000	0.000000	
232 : 0.000000	0.000000	0.000000	
233 : 0.000000	0.000000	0.000000	
234 : 0.000000	0.000000	0.000000	
235 : 0.000000	0.000000	0.000000	
236 : 0.000000	0.000000	0.000000	
237 : 0.000000	0.000000	0.000000	
238 : 0.000000	0.000000	0.000000	
239 : 0.000000	0.000000	0.000000	
240 : 0.000000	0.000000	0.000000	
241 : 0.000000	0.000000	0.000000	
242 : 0.000000	0.000000	0.000000	
243 : 0.000000	0.000000	0.000000	
244 : 0.000000	0.000000	0.000000	
245 : 0.000000	0.000000	0.000000	
246 : 0.000000	0.000000	0.000000	
247 : 0.000000	0.000000	0.000000	
248 : 0.000000	0.000000	0.000000	
