Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 120
HEX 1 : 40D08B44	41EAC8B4	40939581	
DEC 1 : 6.517000	29.348000	4.612000	
HEX 2 : 40ECB439	41E7F3B6	408C0000	
DEC 2 : 7.397000	28.993999	4.375000	
HEX 3 : 40C94FDF	41EE0E56	406FDF3B	
DEC 3 : 6.291000	29.757000	3.748000	
HEX 4 : 40AC4189	41D33D71	40CE978D	
DEC 4 : 5.383000	26.405001	6.456000	
HEX 5 : 40AF9DB2	41DAD70A	40D52F1B	
DEC 5 : 5.488000	27.355000	6.662000	
HEX 6 : 40C01893	41D03B64	40E3D70A	
DEC 6 : 6.003000	26.028999	7.120000	
HEX 7 : 413AD917	4201F5C3	4133AE14	
DEC 7 : 11.678000	32.490002	11.230000	
HEX 8 : 41377CEE	41FD5C29	413B851F	
DEC 8 : 11.468000	31.670000	11.720000	
HEX 9 : 41367AE1	42049062	413E7EFA	
DEC 9 : 11.405000	33.140999	11.906000	
HEX 10 : 4123126F	4202926F	40D526E9	
DEC 10 : 10.192000	32.643002	6.661000	
HEX 11 : 411C353F	4205E45A	40DEC083	
DEC 11 : 9.763000	33.473000	6.961000	
HEX 12 : 411E2D0E	42029BA6	40B73B64	
DEC 12 : 9.886000	32.652000	5.726000	
HEX 13 : 412251EC	41C65E35	41070E56	
DEC 13 : 10.145000	24.796000	8.441000	
HEX 14 : 413F78D5	41D922D1	412228F6	
DEC 14 : 11.967000	27.142000	10.135000	
HEX 15 : 413C5604	41DA7CEE	413174BC	
DEC 15 : 11.771000	27.311001	11.091000	
HEX 16 : 413AF9DB	41F0AE14	4110BC6A	
DEC 16 : 11.686000	30.084999	9.046000	
HEX 17 : 411645A2	41D20E56	40DB126F	
DEC 17 : 9.392000	26.257000	6.846000	
HEX 18 : 4114E148	41CF22D1	40BE147B	
DEC 18 : 9.305000	25.892000	5.940000	
HEX 19 : 410828F6	41D09BA6	40E7020C	
DEC 19 : 8.510000	26.076000	7.219000	
HEX 20 : 4122C083	41F2E148	4102AC08	
DEC 20 : 10.172000	30.360001	8.167000	
HEX 21 : 4121EF9E	41EE3B64	40EC0831	
DEC 21 : 10.121000	29.778999	7.376000	
HEX 22 : 4121851F	41F9E76D	40F74396	
DEC 22 : 10.095000	31.238001	7.727000	
HEX 23 : 4111EF9E	41EF9581	412A1062	
DEC 23 : 9.121000	29.948000	10.629000	
HEX 24 : 410E5604	41E81AA0	41285A1D	
DEC 24 : 8.896000	29.013000	10.522000	
