Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 156
HEX 1 : 41464DD3	41F4CCCD	4052F1AA	
DEC 1 : 12.394000	30.600000	3.296000	
HEX 2 : 41534396	41F61062	40746A7F	
DEC 2 : 13.204000	30.757999	3.819000	
HEX 3 : 41469375	41ECF5C3	40509375	
DEC 3 : 12.411000	29.620001	3.259000	
HEX 4 : 414428F6	41E04FDF	411DE76D	
DEC 4 : 12.260000	28.039000	9.869000	
HEX 5 : 4148DD2F	41EDC8B4	41154396	
DEC 5 : 12.554000	29.723000	9.329000	
HEX 6 : 414E8312	41EB9168	41076873	
DEC 6 : 12.907000	29.445999	8.463000	
HEX 7 : 417D4BC7	41C0B439	4106D4FE	
DEC 7 : 15.831000	24.087999	8.427000	
HEX 8 : 41756042	41C58F5C	411051EC	
DEC 8 : 15.336000	24.695000	9.020000	
HEX 9 : 414CB852	41DEDD2F	40481062	
DEC 9 : 12.795000	27.858000	3.126000	
HEX 10 : 4145A5E3	41DA1CAC	401E872B	
DEC 10 : 12.353000	27.264000	2.477000	
HEX 11 : 415A8B44	41E020C5	402BB646	
DEC 11 : 13.659000	28.016001	2.683000	
HEX 12 : 4187C083	41C8CED9	40C34BC7	
DEC 12 : 16.969000	25.101000	6.103000	
HEX 13 : 4181A1CB	41C64FDF	40B20C4A	
DEC 13 : 16.204000	24.789000	5.564000	
HEX 14 : 4184F7CF	41C6E354	40DFAE14	
DEC 14 : 16.621000	24.861000	6.990000	
HEX 15 : 41526E98	41E7126F	40D4ED91	
DEC 15 : 13.152000	28.884001	6.654000	
HEX 16 : 41622D0E	41E6BE77	40D46A7F	
DEC 16 : 14.136000	28.843000	6.638000	
HEX 17 : 41507AE1	41EE9581	40CC5A1D	
DEC 17 : 13.030000	29.823000	6.386000	
HEX 18 : 414C20C5	41FD9FBE	40D16873	
DEC 18 : 12.758000	31.702999	6.544000	
HEX 19 : 41501893	42005A1D	40ED374C	
DEC 19 : 13.006000	32.088001	7.413000	
HEX 20 : 417EB439	41EF20C5	41123D71	
DEC 20 : 15.919000	29.891001	9.140000	
HEX 21 : 41842B02	41E99375	4117E354	
DEC 21 : 16.521000	29.197001	9.493000	
HEX 22 : 417D2F1B	41EC851F	410374BC	
DEC 22 : 15.824000	29.565001	8.216000	
HEX 23 : 41439581	41C628F6	40C08312	
DEC 23 : 12.224000	24.770000	6.016000	
HEX 24 : 416BC6A8	41C0D2F2	41374396	
DEC 24 : 14.736000	24.103001	11.454000	
HEX 25 : 4163374C	41CBCAC1	41251EB8	
DEC 25 : 14.201000	25.474001	10.320000	
HEX 26 : 4169A9FC	41D16873	412E1893	
DEC 26 : 14.604000	26.176001	10.881000	
HEX 27 : 4155645A	41CF3127	41220419	
