Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 141
HEX 1 : 41DF126F	41F3353F	4095FBE7	
DEC 1 : 27.884001	30.400999	4.687000	
HEX 2 : 41E61687	41F6B22D	409A1CAC	
DEC 2 : 28.761000	30.837000	4.816000	
HEX 3 : 41E13F7D	41ECB22D	40868F5C	
DEC 3 : 28.156000	29.587000	4.205000	
HEX 4 : 41D528F6	41FE4396	413E72B0	
DEC 4 : 26.645000	31.783001	11.903000	
HEX 5 : 41CB8F5C	42018E56	40DE24DD	
DEC 5 : 25.445000	32.389000	6.942000	
HEX 6 : 41C61CAC	4203DD2F	40EB020C	
DEC 6 : 24.764000	32.966000	7.344000	
HEX 7 : 41C9020C	4201B333	40C07AE1	
DEC 7 : 25.125999	32.424999	6.015000	
HEX 8 : 41CF47AE	41C0F9DB	41047EFA	
DEC 8 : 25.910000	24.122000	8.281000	
HEX 9 : 41CD0625	41C4A7F0	40DD4FDF	
DEC 9 : 25.628000	24.582001	6.916000	
HEX 10 : 41D9978D	41D326E9	41297CEE	
DEC 10 : 27.198999	26.393999	10.593000	
HEX 11 : 41D73F7D	41D68937	4136E148	
DEC 11 : 26.906000	26.816999	11.430000	
HEX 12 : 41D8E979	41D96873	411FF7CF	
DEC 12 : 27.114000	27.176001	9.998000	
HEX 13 : 41D66E98	41E48106	4110C49C	
DEC 13 : 26.804001	28.563000	9.048000	
HEX 14 : 41D01AA0	41E8999A	410C8312	
DEC 14 : 26.013000	29.075001	8.782000	
HEX 15 : 41DA8106	41E4978D	4103645A	
DEC 15 : 27.313000	28.573999	8.212000	
HEX 16 : 41C45A1D	41CF2D0E	40CD999A	
DEC 16 : 24.544001	25.896999	6.425000	
HEX 17 : 41C26A7F	41CC5C29	40B1374C	
DEC 17 : 24.302000	25.545000	5.538000	
HEX 18 : 41CED70A	41F2A1CB	4139DB23	
DEC 18 : 25.855000	30.329000	11.616000	
HEX 19 : 41C7F7CF	41F1147B	4132ED91	
DEC 19 : 24.996000	30.135000	11.183000	
HEX 20 : 41C57AE1	41EF353F	40FA353F	
DEC 20 : 24.684999	29.900999	7.819000	
HEX 21 : 41C64189	41EB624E	40DF020C	
DEC 21 : 24.782000	29.423000	6.969000	
HEX 22 : 41C77AE1	41F678D5	40F1374C	
DEC 22 : 24.934999	30.809000	7.538000	
HEX 23 : 41FD147B	41C32B02	410574BC	
DEC 23 : 31.635000	24.396000	8.341000	
HEX 24 : 41F847AE	41C76C8B	410E8312	
DEC 24 : 31.035000	24.927999	8.907000	
HEX 25 : 41E41CAC	41E07CEE	405DA1CB	
DEC 25 : 28.514000	28.061001	3.463000	
HEX 26 : 41E04189	41DBE979	4034AC08	
DEC 26 : 28.032000	27.489000	2.823000	
HEX 27 : 41EA2D0E	41E2AE14	4039A9FC	
DEC 27 : 29.271999	28.334999	2.901000	
HEX 28 : 42045D2F	41C96E98	40C33B64	
DEC 28 : 33.091000	25.179001	6.101000	
HEX 29 : 42014AC1	41C9AC08	40AF9581	
DEC 29 : 32.323002	25.209000	5.487000	
HEX 30 : 42028106	41C770A4	40DDCAC1	
DEC 30 : 32.625999	24.930000	6.931000	
HEX 31 : 41E153F8	41E41062	40D5EB85	
DEC 31 : 28.166000	28.507999	6.685000	
HEX 32 : 41E91EB8	41E44FDF	40DB0A3D	
DEC 32 : 29.139999	28.539000	6.845000	
HEX 33 : 41E0A5E3	41EA645A	40C374BC	
DEC 33 : 28.080999	29.299000	6.108000	
HEX 34 : 41E06E98	42043E77	40E170A4	
