Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 145
HEX 1 : 41249375	4143F3B6	41778106	
DEC 1 : 10.286000	12.247000	15.469000	
HEX 2 : 4107B22D	416B6C8B	41691EB8	
DEC 2 : 8.481000	14.714000	14.570000	
HEX 3 : 40FC1062	41743D71	4160B439	
DEC 3 : 7.877000	15.265000	14.044000	
HEX 4 : 40FC5A1D	415F6C8B	416C8B44	
DEC 4 : 7.886000	13.964000	14.784000	
HEX 5 : 40AC1893	4150D0E5	414D126F	
DEC 5 : 5.378000	13.051000	12.817000	
HEX 6 : 40909375	414978D5	414CE560	
DEC 6 : 4.518000	12.592000	12.806000	
HEX 7 : 4124353F	415DC6A8	418445A2	
DEC 7 : 10.263000	13.861000	16.534000	
HEX 8 : 411BCED9	41654FDF	417D851F	
DEC 8 : 9.738000	14.332000	15.845000	
HEX 9 : 4132A7F0	415E1893	41810625	
DEC 9 : 11.166000	13.881000	16.128000	
HEX 10 : 413420C5	41847EFA	416C1CAC	
DEC 10 : 11.258000	16.562000	14.757000	
HEX 11 : 412D0E56	418A8106	4164CCCD	
DEC 11 : 10.816000	17.313000	14.300000	
HEX 12 : 413A5604	41882B02	41787AE1	
DEC 12 : 11.646000	17.021000	15.530000	
HEX 13 : 4130ED91	416D6C8B	41487EFA	
DEC 13 : 11.058000	14.839000	12.531000	
HEX 14 : 41231AA0	4169E76D	4141C28F	
DEC 14 : 10.194000	14.619000	12.110000	
HEX 15 : 412C3958	4173D2F2	41560419	
DEC 15 : 10.764000	15.239000	13.376000	
HEX 16 : 4100E148	41951EB8	4185B439	
DEC 16 : 8.055000	18.639999	16.712999	
HEX 17 : 410B5C29	418FA9FC	41874BC7	
DEC 17 : 8.710000	17.958000	16.912001	
HEX 18 : 40FA5604	419320C5	417C978D	
DEC 18 : 7.823000	18.391001	15.787000	
HEX 19 : 40D2E979	414D374C	4173E76D	
DEC 19 : 6.591000	12.826000	15.244000	
HEX 20 : 40C1FBE7	414228F6	417AE979	
DEC 20 : 6.062000	12.135000	15.682000	
HEX 21 : 40C6872B	414D22D1	4165645A	
DEC 21 : 6.204000	12.821000	14.337000	
HEX 22 : 41353F7D	4179BE77	41941062	
DEC 22 : 11.328000	15.609000	18.507999	
HEX 23 : 41324189	416F3333	418E7CEE	
DEC 23 : 11.141000	14.950000	17.811001	
HEX 24 : 405C3958	41838937	416EFDF4	
DEC 24 : 3.441000	16.441999	14.937000	
HEX 25 : 4073A5E3	41853958	417D1EB8	
DEC 25 : 3.807000	16.653000	15.820000	
HEX 26 : 40310625	41892F1B	416D6C8B	
DEC 26 : 2.766000	17.148001	14.839000	
HEX 27 : 4012E148	4160147B	4166F5C3	
DEC 27 : 2.295000	14.005000	14.435000	
HEX 28 : 40326E98	416D2F1B	416A7EFA	
DEC 28 : 2.788000	14.824000	14.656000	
HEX 29 : 3FCFBE77	41664189	415D5810	
DEC 29 : 1.623000	14.391000	13.834000	
HEX 30 : 40B872B0	41629BA6	418CCAC1	
DEC 30 : 5.764000	14.163000	17.599001	
HEX 31 : 40A820C5	415526E9	418C6A7F	
DEC 31 : 5.254000	13.322000	17.552000	
HEX 32 : 40C8BC6A	4160D0E5	41862D0E	
DEC 32 : 6.273000	14.051000	16.771999	
HEX 33 : 4029A9FC	41475810	415BEF9E	
DEC 33 : 2.651000	12.459000	13.746000	
HEX 34 : 40EF645A	41900419	4161DB23	
DEC 34 : 7.481000	18.002001	14.116000	
HEX 35 : 40DC49BA	418A0A3D	415E1893	
DEC 35 : 6.884000	17.254999	13.881000	
HEX 36 : 40DD4FDF	41962F1B	415E0C4A	
DEC 36 : 6.916000	18.773001	13.878000	
HEX 37 : 413E6666	415374BC	414AFDF4	
DEC 37 : 11.900000	13.216000	12.687000	
HEX 38 : 413A9BA6	41409375	4159999A	
DEC 38 : 11.663000	12.036000	13.600000	
HEX 39 : 40B9BA5E	417BDB23	415B0625	
DEC 39 : 5.804000	15.741000	13.689000	
HEX 40 : 40B3BE77	416D8937	4155851F	
