Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 149
HEX 1 : 41AFE148	420A3127	41917CEE	
DEC 1 : 21.985001	34.548000	18.186001	
HEX 2 : 41B1D917	420C9893	41975810	
DEC 2 : 22.231001	35.148998	18.917999	
HEX 3 : 41AE0625	4206F7CF	41958D50	
DEC 3 : 21.753000	33.742001	18.694000	
HEX 4 : 41AA4396	4201AC08	419DBE77	
DEC 4 : 21.283001	32.417999	19.718000	
HEX 5 : 41B0E560	42011893	41A1CAC1	
DEC 5 : 22.112000	32.273998	20.224001	
HEX 6 : 41A4E979	4200DD2F	41A34396	
DEC 6 : 20.614000	32.216000	20.408001	
HEX 7 : 41912B02	420F1BA6	41A9126F	
DEC 7 : 18.146000	35.777000	21.134001	
HEX 8 : 4198CCCD	420F051F	41AAC49C	
DEC 8 : 19.100000	35.755001	21.346001	
HEX 9 : 41911062	420E9DB2	41A14DD3	
DEC 9 : 18.132999	35.653999	20.163000	
HEX 10 : 41A80000	4203FAE1	416F6042	
DEC 10 : 21.000000	32.994999	14.961000	
HEX 11 : 41A7B646	42026B85	41613F7D	
DEC 11 : 20.964001	32.605000	14.078000	
HEX 12 : 41A6BC6A	4207CBC7	416C28F6	
DEC 12 : 20.841999	33.949001	14.760000	
HEX 13 : 41A61687	420E1BA6	418BD70A	
DEC 13 : 20.761000	35.527000	17.480000	
HEX 14 : 41924BC7	41DDC8B4	41BD6C8B	
DEC 14 : 18.287001	27.723000	23.677999	
HEX 15 : 41900A3D	42041168	41BFDF3B	
DEC 15 : 18.004999	33.016998	23.983999	
HEX 16 : 41B772B0	41CF978D	41BE353F	
DEC 16 : 22.931000	25.948999	23.775999	
HEX 17 : 41B4645A	41D1AC08	41B747AE	
DEC 17 : 22.549000	26.209000	22.910000	
HEX 18 : 41A50A3D	420FC5A2	41B39FBE	
DEC 18 : 20.629999	35.943001	22.452999	
HEX 19 : 41A77CEE	420C23D7	41B5A3D7	
DEC 19 : 20.936001	35.035000	22.705000	
HEX 20 : 41900625	41ED8B44	41A7C6A8	
DEC 20 : 18.003000	29.693001	20.972000	
HEX 21 : 4193C083	41F445A2	41A97AE1	
DEC 21 : 18.469000	30.534000	21.184999	
HEX 22 : 4193B439	41EBED91	41A1126F	
DEC 22 : 18.462999	29.490999	20.134001	
HEX 23 : 41AFA7F0	41D73D71	41AAEB85	
DEC 23 : 21.957001	26.905001	21.365000	
HEX 24 : 41B4CAC1	41D30A3D	41A6BC6A	
DEC 24 : 22.599001	26.379999	20.841999	
HEX 25 : 41B1A9FC	41DE74BC	41A88937	
DEC 25 : 22.208000	27.806999	21.066999	
HEX 26 : 41A2C083	41EC0000	419B7EFA	
DEC 26 : 20.344000	29.500000	19.437000	
HEX 27 : 41A9EB85	41EC4396	419EA3D7	
DEC 27 : 21.240000	29.533001	19.830000	
HEX 28 : 41A3D2F2	41EFFBE7	4194E76D	
DEC 28 : 20.478001	29.997999	18.613001	
HEX 29 : 41820E56	41EF1EB8	41B8DD2F	
DEC 29 : 16.257000	29.889999	23.108000	
HEX 30 : 4184B439	41E8A5E3	41BC72B0	
DEC 30 : 16.587999	29.080999	23.556000	
HEX 31 : 4186624E	41EECCCD	41B24396	
DEC 31 : 16.798000	29.850000	22.283001	
HEX 32 : 41A7C8B4	41F33B64	41BD9581	
DEC 32 : 20.973000	30.403999	23.698000	
HEX 33 : 41AF8B44	41F245A2	41BCB646	
DEC 33 : 21.943001	30.284000	23.589001	
HEX 34 : 41A53127	41EC3333	41BB3F7D	
DEC 34 : 20.649000	29.525000	23.406000	
HEX 35 : 41AD5604	42063333	41B96C8B	
DEC 35 : 21.667000	33.549999	23.177999	
HEX 36 : 41AC4DD3	4202F3B6	41BD8312	
DEC 36 : 21.538000	32.737999	23.688999	
HEX 37 : 41B53333	42065E35	41B93958	
DEC 37 : 22.650000	33.591999	23.153000	
HEX 38 : 419DDD2F	41E11893	41B4999A	
DEC 38 : 19.733000	28.136999	22.575001	
HEX 39 : 4199E979	41E43D71	41AE9BA6	
DEC 39 : 19.239000	28.530001	21.826000	
HEX 40 : 41A33333	41DCBA5E	41B0D4FE	
DEC 40 : 20.400000	27.591000	22.104000	
HEX 41 : 41501893	42026D91	41BC45A2	
DEC 41 : 13.006000	32.606998	23.534000	
HEX 42 : 41416042	4201B439	41B9E979	
DEC 42 : 12.086000	32.425999	23.239000	
HEX 43 : 414EF1AA	42064ED9	41BD78D5	
DEC 43 : 12.934000	33.577000	23.684000	
HEX 44 : 41BB9375	420FEB85	4165F7CF	
DEC 44 : 23.447001	35.980000	14.373000	
HEX 45 : 418551EC	420D9687	41BAB646	
DEC 45 : 16.665001	35.396999	23.339001	
HEX 46 : 4188F9DB	420E3646	41B3D70A	
DEC 46 : 17.122000	35.553001	22.480000	
HEX 47 : 41885E35	420A178D	41BC47AE	
DEC 47 : 17.046000	34.522999	23.535000	
HEX 48 : 41B90625	41EB3F7D	4186B021	
DEC 48 : 23.128000	29.406000	16.836000	
HEX 49 : 41B50A3D	41E5BC6A	4182AC08	
DEC 49 : 22.629999	28.716999	16.334000	
HEX 50 : 41B33958	41F08F5C	41877EFA	
DEC 50 : 22.403000	30.070000	16.937000	
HEX 51 : 41BF0000	4201DC29	41A6147B	
DEC 51 : 23.875000	32.465000	20.760000	
HEX 52 : 41BCCCCD	420775C3	4177645A	
DEC 52 : 23.600000	33.865002	15.462000	
HEX 53 : 41B52F1B	42068A3D	41786666	
DEC 53 : 22.648001	33.634998	15.525000	
HEX 54 : 41BFED91	42041AA0	417CF9DB	
DEC 54 : 23.990999	33.026001	15.811000	
HEX 55 : 41A98B44	41FA1EB8	41894189	
DEC 55 : 21.193001	31.264999	17.157000	
HEX 56 : 41A7D917	41FF22D1	418372B0	
DEC 56 : 20.981001	31.892000	16.431000	
HEX 57 : 41A8F5C3	41FEC083	418F8D50	
DEC 57 : 21.120001	31.844000	17.944000	
HEX 58 : 41BF3958	41C97EFA	41999375	
DEC 58 : 23.903000	25.187000	19.197001	
HEX 59 : 41A71687	420EB439	416A0419	
DEC 59 : 20.886000	35.675999	14.626000	
HEX 60 : 41A422D1	420FAF1B	41780831	
DEC 60 : 20.517000	35.921001	15.502000	
HEX 61 : 41BD72B0	41F04396	41BA7EFA	
DEC 61 : 23.681000	30.033001	23.312000	
HEX 62 : 41B66042	41EB5810	41A645A2	
DEC 62 : 22.797001	29.417999	20.784000	
HEX 63 : 41BCDF3B	41ED6666	41A27CEE	
DEC 63 : 23.608999	29.674999	20.311001	
HEX 64 : 41B870A4	41ED6A7F	41AD9581	
DEC 64 : 23.055000	29.677000	21.698000	
HEX 65 : 419BBC6A	41FE9168	41AEF9DB	
DEC 65 : 19.466999	31.820999	21.872000	
HEX 66 : 4197DD2F	4201B646	41B3C6A8	
DEC 66 : 18.983000	32.428001	22.472000	
HEX 67 : 41A074BC	41FB1062	41B42D0E	
DEC 67 : 20.056999	31.382999	22.521999	
HEX 68 : 41429FBE	4200C8B4	41720000	
DEC 68 : 12.164000	32.195999	15.125000	
HEX 69 : 41606666	41DE2D0E	4166B021	
DEC 69 : 14.025000	27.771999	14.418000	
HEX 70 : 41646A7F	41DD9BA6	4157999A	
DEC 70 : 14.276000	27.701000	13.475000	
HEX 71 : 415C9BA6	41D6B852	4169E76D	
DEC 71 : 13.788000	26.840000	14.619000	
HEX 72 : 41480C4A	41D1624E	41857AE1	
DEC 72 : 12.503000	26.173000	16.684999	
HEX 73 : 414045A2	41F126E9	416ECCCD	
DEC 73 : 12.017000	30.143999	14.925000	
HEX 74 : 414AB852	41E63D71	417020C5	
DEC 74 : 12.670000	28.780001	15.008000	
HEX 75 : 4160BC6A	420229FC	41514FDF	
DEC 75 : 14.046000	32.541000	13.082000	
HEX 76 : 41604DD3	41FE0000	41480831	
DEC 76 : 14.019000	31.750000	12.502000	
HEX 77 : 41563958	420146A8	415C45A2	
DEC 77 : 13.389000	32.319000	13.767000	
HEX 78 : 4181F5C3	41F351EC	4156D0E5	
DEC 78 : 16.245001	30.415001	13.426000	
HEX 79 : 4178978D	41F12B02	414CE979	
DEC 79 : 15.537000	30.146000	12.807000	
HEX 80 : 417B5C29	41F56042	4163645A	
DEC 80 : 15.710000	30.672001	14.212000	
HEX 81 : 416F78D5	41E545A2	41867AE1	
DEC 81 : 14.967000	28.659000	16.809999	
HEX 82 : 417170A4	41ECCED9	418478D5	
DEC 82 : 15.090000	29.601000	16.559000	
HEX 83 : 416ACCCD	41E27EFA	417F020C	
DEC 83 : 14.675000	28.312000	15.938000	
HEX 84 : 418CBC6A	41C11687	417BD70A	
DEC 84 : 17.591999	24.136000	15.740000	
HEX 85 : 418B78D5	41C7DF3B	4181B22D	
DEC 85 : 17.434000	24.983999	16.212000	
HEX 86 : 4193374C	41C2EB85	4173CAC1	
DEC 86 : 18.402000	24.365000	15.237000	
HEX 87 : 4155D70A	41CA0C4A	4176ED91	
DEC 87 : 13.365000	25.256001	15.433000	
HEX 88 : 41629BA6	41C5BE77	4173E354	
DEC 88 : 14.163000	24.718000	15.243000	
HEX 89 : 414BA9FC	41C41CAC	4177D2F2	
DEC 89 : 12.729000	24.514000	15.489000	
HEX 90 : 4180851F	41D751EC	4148F1AA	
DEC 90 : 16.065001	26.915001	12.559000	
HEX 91 : 416C9BA6	41F978D5	417B1687	
DEC 91 : 14.788000	31.184000	15.693000	
HEX 92 : 4173020C	420050E5	417CCCCD	
DEC 92 : 15.188000	32.078999	15.800000	
HEX 93 : 415DA9FC	41FB9BA6	4179AE14	
DEC 93 : 13.854000	31.451000	15.605000	
HEX 94 : 416D26E9	420B5F3B	41409FBE	
DEC 94 : 14.822000	34.842999	12.039000	
HEX 95 : 416A1062	420D3333	414E4189	
DEC 95 : 14.629000	35.299999	12.891000	
HEX 96 : 416820C5	4207C396	4144E148	
DEC 96 : 14.508000	33.941002	12.305000	
HEX 97 : 4144147B	420E0625	4183CCCD	
DEC 97 : 12.255000	35.506001	16.475000	
HEX 98 : 414E9375	420D020C	4189374C	
DEC 98 : 12.911000	35.251999	17.152000	
HEX 99 : 415FAE14	420FC189	4166872B	
DEC 99 : 13.980000	35.938999	14.408000	
HEX 100 : 4153BE77	420EE042	41703D71	
DEC 100 : 13.234000	35.719002	15.015000	
HEX 101 : 417445A2	420779DB	417EA7F0	
DEC 101 : 15.267000	33.868999	15.916000	
HEX 102 : 416EE560	4209CED9	4173645A	
DEC 102 : 14.931000	34.452000	15.212000	
HEX 103 : 416FF7CF	42098419	4185A3D7	
DEC 103 : 14.998000	34.379002	16.705000	
HEX 104 : 414A45A2	41F851EC	419E5604	
DEC 104 : 12.642000	31.040001	19.792000	
HEX 105 : 4150C8B4	41F67CEE	41A54189	
DEC 105 : 13.049000	30.811001	20.657000	
HEX 106 : 414C353F	41F147AE	419ADB23	
DEC 106 : 12.763000	30.160000	19.357000	
HEX 107 : 414F53F8	41E4F1AA	419570A4	
DEC 107 : 12.958000	28.618000	18.680000	
HEX 108 : 41471687	41DF51EC	4191D0E5	
DEC 108 : 12.443000	27.915001	18.226999	
HEX 109 : 415BD70A	41E528F6	4190AE14	
DEC 109 : 13.740000	28.645000	18.084999	
HEX 110 : 4147B646	41DEF5C3	41AE1EB8	
DEC 110 : 12.482000	27.870001	21.764999	
HEX 111 : 415224DD	41D98312	41AC020C	
DEC 111 : 13.134000	27.188999	21.500999	
HEX 112 : 4150B852	41E56666	41AE9168	
DEC 112 : 13.045000	28.674999	21.820999	
HEX 113 : 4148CCCD	41C83D71	41A728F6	
DEC 113 : 12.550000	25.030001	20.895000	
HEX 114 : 4162C083	41CE872B	41A73B64	
DEC 114 : 14.172000	25.816000	20.903999	
HEX 115 : 416C8B44	41C8A7F0	41A92B02	
DEC 115 : 14.784000	25.082001	21.146000	
HEX 116 : 416BB22D	41D29168	41A26042	
DEC 116 : 14.731000	26.320999	20.297001	
HEX 117 : 415BAE14	41F26042	41B16042	
DEC 117 : 13.730000	30.297001	22.172001	
HEX 118 : 415774BC	41F89BA6	41B5A7F0	
DEC 118 : 13.466000	31.076000	22.707001	
HEX 119 : 416A353F	41F11062	41B41687	
DEC 119 : 14.638000	30.132999	22.511000	
HEX 120 : 414EAC08	42075A1D	419BEB85	
DEC 120 : 12.917000	33.838001	19.490000	
HEX 121 : 4150624E	420376C9	419C4BC7	
DEC 121 : 13.024000	32.866001	19.537001	
