Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 153
HEX 1 : 411FCED9	414CC8B4	41F71893	
DEC 1 : 9.988000	12.799000	30.886999	
HEX 2 : 4111A9FC	4176978D	41EDA7F0	
DEC 2 : 9.104000	15.412000	29.707001	
HEX 3 : 410CD0E5	4182BE77	41ED49BA	
DEC 3 : 8.801000	16.343000	29.660999	
HEX 4 : 41046666	416F7CEE	41EFB646	
DEC 4 : 8.275000	14.968000	29.964001	
HEX 5 : 40ACCCCD	415DDB23	41E14189	
DEC 5 : 5.400000	13.866000	28.157000	
HEX 6 : 408D8937	415DC6A8	41E10A3D	
DEC 6 : 4.423000	13.861000	28.129999	
HEX 7 : 40B3AE14	41573333	41DA5A1D	
DEC 7 : 5.615000	13.450000	27.294001	
HEX 8 : 412B1AA0	416374BC	41FD4189	
DEC 8 : 10.694000	14.216000	31.657000	
HEX 9 : 4127B646	416F4FDF	41F86873	
DEC 9 : 10.482000	14.957000	31.051001	
HEX 10 : 413A6666	4165BA5E	41FE872B	
DEC 10 : 11.650000	14.358000	31.816000	
HEX 11 : 413F1687	41896C8B	41D9D917	
DEC 11 : 11.943000	17.177999	27.231001	
HEX 12 : 413824DD	4189D4FE	41F10C4A	
DEC 12 : 11.509000	17.229000	30.131001	
HEX 13 : 4131020C	418DBC6A	41EB49BA	
DEC 13 : 11.063000	17.716999	29.410999	
HEX 14 : 4138AC08	418F3127	41F6CED9	
DEC 14 : 11.542000	17.899000	30.851000	
HEX 15 : 4137A5E3	415D70A4	41C73B64	
DEC 15 : 11.478000	13.840000	24.903999	
HEX 16 : 413174BC	416676C9	41E120C5	
DEC 16 : 11.091000	14.404000	28.141001	
HEX 17 : 4126A3D7	41656C8B	41DB6A7F	
DEC 17 : 10.415000	14.339000	27.427000	
HEX 18 : 412845A2	416D26E9	41E69375	
DEC 18 : 10.517000	14.822000	28.822001	
HEX 19 : 40FBDF3B	41974189	4200A5E3	
DEC 19 : 7.871000	18.907000	32.161999	
HEX 20 : 4106ED91	41919375	420225E3	
DEC 20 : 8.433000	18.197001	32.536999	
HEX 21 : 40F77CEE	41942F1B	41FA24DD	
