Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 132
HEX 1 : 41F6147B	41A376C9	41C98937	
DEC 1 : 30.760000	20.433001	25.191999	
HEX 2 : 41F5C49C	41AB3333	41CA978D	
DEC 2 : 30.721001	21.400000	25.323999	
HEX 3 : 41EF4FDF	41A23B64	41C5B439	
DEC 3 : 29.914000	20.278999	24.712999	
HEX 4 : 41EAA1CB	41A4D2F2	41E51CAC	
DEC 4 : 29.329000	20.603001	28.639000	
HEX 5 : 41E5A9FC	41A11AA0	41E053F8	
DEC 5 : 28.708000	20.138000	28.041000	
HEX 6 : 41E6BE77	41AB978D	41E5D917	
DEC 6 : 28.843000	21.448999	28.731001	
HEX 7 : 4208EF9E	416DFBE7	41F4A7F0	
DEC 7 : 34.234001	14.874000	30.582001	
HEX 8 : 4209E873	41777CEE	41EEB439	
DEC 8 : 34.477001	15.468000	29.837999	
HEX 9 : 4207D810	41793333	41F9BC6A	
DEC 9 : 33.960999	15.575000	31.216999	
HEX 10 : 41D19DB2	418F28F6	420A25E3	
DEC 10 : 26.202000	17.895000	34.536999	
HEX 11 : 41D620C5	41953958	420B27F0	
DEC 11 : 26.766001	18.653000	34.789001	
HEX 12 : 41CCB852	418F7AE1	420D3958	
DEC 12 : 25.590000	17.934999	35.306000	
HEX 13 : 41E98B44	4182E76D	41E5E148	
DEC 13 : 29.193001	16.363001	28.735001	
HEX 14 : 41EA0E56	41803333	41DE7EFA	
DEC 14 : 29.257000	16.025000	27.812000	
HEX 15 : 41F13127	4183872B	41E77EFA	
DEC 15 : 30.149000	16.441000	28.937000	
HEX 16 : 41C56E98	41BA353F	41C06666	
DEC 16 : 24.679001	23.275999	24.049999	
HEX 17 : 41D43127	41B33B64	41C8E148	
DEC 17 : 26.524000	22.403999	25.110001	
HEX 18 : 41D3B22D	41BAC083	41CAFDF4	
DEC 18 : 26.462000	23.344000	25.374001	
HEX 19 : 41D6DF3B	41B46C8B	41C19168	
DEC 19 : 26.858999	22.552999	24.195999	
HEX 20 : 41D424DD	4153CED9	41FBD4FE	
DEC 20 : 26.518000	13.238000	31.479000	
HEX 21 : 41D9F1AA	414C1062	41F83333	
DEC 21 : 27.243000	12.754000	31.025000	
HEX 22 : 41D73127	41623D71	41FB7CEE	
DEC 22 : 26.899000	14.140000	31.436001	
HEX 23 : 41DB49BA	41787EFA	42080937	
DEC 23 : 27.410999	15.531000	34.008999	
HEX 24 : 41D7EB85	418353F8	420873B6	
DEC 24 : 26.990000	16.416000	34.112999	
HEX 25 : 41DCFDF4	4178D4FE	42043333	
DEC 25 : 27.624001	15.552000	33.049999	
HEX 26 : 420EA2D1	418E624E	41D3E354	
DEC 26 : 35.659000	17.798000	26.486000	
HEX 27 : 420EEA7F	41959168	41D10625	
DEC 27 : 35.729000	18.695999	26.128000	
HEX 28 : 41C05604	417E5E35	420825E3	
DEC 28 : 24.042000	15.898000	34.036999	
HEX 29 : 41C49581	4185A9FC	4207E979	
DEC 29 : 24.573000	16.708000	33.978001	
HEX 30 : 41E070A4	419820C5	41D6645A	
DEC 30 : 28.055000	19.016001	26.799000	
HEX 31 : 41E6C49C	4193978D	41D65E35	
DEC 31 : 28.846001	18.448999	26.796000	
HEX 32 : 41E0126F	419A0625	41CED0E5	
DEC 32 : 28.009001	19.253000	25.851999	
HEX 33 : 41DE47AE	41B6DD2F	41E66042	
DEC 33 : 27.785000	22.858000	28.797001	
HEX 34 : 41E29BA6	41B9AC08	41EC4BC7	
DEC 34 : 28.326000	23.209000	29.537001	
HEX 35 : 41DF9375	41BC7EFA	41E10419	
DEC 35 : 27.947001	23.562000	28.127001	
HEX 36 : 41CC126F	41ADED91	41DD0831	
DEC 36 : 25.509001	21.740999	27.629000	
HEX 37 : 41CF8937	41AE020C	41D5F7CF	
DEC 37 : 25.941999	21.750999	26.746000	
HEX 38 : 41D1E560	41B0DF3B	41E16873	
DEC 38 : 26.237000	22.108999	28.176001	
HEX 39 : 4202F8D5	41950A3D	41C3C083	
DEC 39 : 32.743000	18.629999	24.469000	
HEX 40 : 42000C4A	4199FBE7	41C58312	
DEC 40 : 32.012001	19.247999	24.688999	
HEX 41 : 4205D3F8	419A5E35	41C2ED91	
DEC 41 : 33.457001	19.296000	24.365999	
HEX 42 : 41F53F7D	41BCF9DB	41CBF3B6	
DEC 42 : 30.656000	23.622000	25.493999	
HEX 43 : 41F872B0	41BD5C29	41C4D2F2	
DEC 43 : 31.056000	23.670000	24.603001	
HEX 44 : 41D83958	418FDB23	41E9A5E3	
DEC 44 : 27.028000	17.982000	29.205999	
HEX 45 : 41DE76C9	418B3127	41E8B439	
DEC 45 : 27.808001	17.399000	29.087999	
HEX 46 : 41D8BA5E	4193BE77	41E2E148	
DEC 46 : 27.091000	18.468000	28.360001	
HEX 47 : 41C58937	418F72B0	41F55810	
DEC 47 : 24.691999	17.931000	30.667999	
HEX 48 : 41CC7AE1	418FBA5E	41F19375	
DEC 48 : 25.559999	17.966000	30.197001	
HEX 49 : 41C4F3B6	4187D2F2	41F69581	
DEC 49 : 24.618999	16.978001	30.823000	
HEX 50 : 4201F2B0	41543D71	42000419	
DEC 50 : 32.487000	13.265000	32.004002	
HEX 51 : 41FE5604	415EE979	41FE3958	
DEC 51 : 31.792000	13.932000	31.778000	
HEX 52 : 4204B74C	4159F3B6	41FB374C	
DEC 52 : 33.179001	13.622000	31.402000	
HEX 53 : 41FCB22D	41669FBE	420F77CF	
DEC 53 : 31.587000	14.414000	35.867001	
HEX 54 : 41FB0419	4175BE77	420ED604	
DEC 54 : 31.377001	15.359000	35.709000	
HEX 55 : 41F5AC08	41605E35	420E9EB8	
DEC 55 : 30.709000	14.023000	35.654999	
HEX 56 : 41DB76C9	41A06042	420F2E14	
DEC 56 : 27.433001	20.047001	35.794998	
HEX 57 : 41D99168	41A79DB2	420E0937	
DEC 57 : 27.195999	20.952000	35.508999	
HEX 58 : 420970A4	41A6BC6A	41C02D0E	
DEC 58 : 34.360001	20.841999	24.021999	
HEX 59 : 420CB53F	41A5A9FC	41C46873	
DEC 59 : 35.176998	20.708000	24.551001	
HEX 60 : 41F7978D	41747AE1	41F90A3D	
DEC 60 : 30.948999	15.280000	31.129999	
HEX 61 : 41FB3958	417B2B02	41F2ED91	
DEC 61 : 31.403000	15.698000	30.365999	
HEX 62 : 41F6E979	41808312	41FDBE77	
DEC 62 : 30.864000	16.063999	31.718000	
HEX 63 : 42093F7D	419C9DB2	41F9147B	
DEC 63 : 34.312000	19.577000	31.135000	
HEX 64 : 4209B333	41A43958	41F81062	
DEC 64 : 34.424999	20.528000	31.007999	
HEX 65 : 420C76C9	4199D917	41F56873	
DEC 65 : 35.116001	19.231001	30.676001	
HEX 66 : 41CBE560	415DA5E3	420DCED9	
DEC 66 : 25.487000	13.853000	35.452000	
HEX 67 : 41D38D50	416F9581	420DDB23	
DEC 67 : 26.444000	14.974000	35.464001	
HEX 68 : 41C63D71	41546A7F	42073C6A	
DEC 68 : 24.780001	13.276000	33.808998	
HEX 69 : 41C3C6A8	416370A4	42070C4A	
DEC 69 : 24.472000	14.215000	33.762001	
HEX 70 : 41CAEB85	41540C4A	42041893	
DEC 70 : 25.365000	13.253000	33.023998	
HEX 71 : 420BB646	417CD917	420E6560	
DEC 71 : 34.928001	15.803000	35.598999	
HEX 72 : 420A0937	4170FDF4	420C8937	
DEC 72 : 34.508999	15.062000	35.133999	
HEX 73 : 42095D2F	41845E35	420D3E77	
DEC 73 : 34.341000	16.546000	35.311001	
HEX 74 : 42020106	41804BC7	41CBBE77	
DEC 74 : 32.500999	16.037001	25.468000	
HEX 75 : 4202147B	4187851F	41C8A3D7	
DEC 75 : 32.520000	16.940001	25.080000	
HEX 76 : 4205624E	41806A7F	41CF7EFA	
DEC 76 : 33.346001	16.052000	25.937000	
HEX 77 : 41F5FDF4	4187A1CB	420CA8F6	
DEC 77 : 30.749001	16.954000	35.165001	
HEX 78 : 41F3BA5E	418847AE	4208EA7F	
DEC 78 : 30.466000	17.035000	34.229000	
HEX 79 : 41FD978D	4189B22D	420C2D0E	
DEC 79 : 31.698999	17.212000	35.043999	
HEX 80 : 41C253F8	41A6AE14	41E4A9FC	
DEC 80 : 24.291000	20.834999	28.583000	
HEX 81 : 4206DF3B	41578D50	4209E666	
DEC 81 : 33.717999	13.472000	34.474998	
HEX 82 : 42053646	4157C28F	42065604	
DEC 82 : 33.303001	13.485000	33.584000	
HEX 83 : 4203D3F8	415C7EFA	420C178D	
DEC 83 : 32.957001	13.781000	35.022999	
HEX 84 : 420A8106	4187F1AA	41E6CED9	
DEC 84 : 34.625999	16.993000	28.851000	
HEX 85 : 420D0F5C	418C7EFA	41EAC49C	
DEC 85 : 35.264999	17.562000	29.346001	
HEX 86 : 420BAB02	4189D917	41DF851F	
DEC 86 : 34.917000	17.231001	27.940001	
HEX 87 : 41F772B0	4195E560	41DAE979	
DEC 87 : 30.931000	18.737000	27.364000	
HEX 88 : 41F88312	419A2D0E	41D46E98	
DEC 88 : 31.063999	19.271999	26.554001	
HEX 89 : 41F45604	419B6C8B	41DF851F	
DEC 89 : 30.542000	19.427999	27.940001	
HEX 90 : 41E8B439	4159C6A8	420CB333	
DEC 90 : 29.087999	13.611000	35.174999	
HEX 91 : 41EA374C	415049BA	4209A2D1	
DEC 91 : 29.277000	13.018000	34.409000	
HEX 92 : 41E3B852	4163EB85	420B0625	
DEC 92 : 28.465000	14.245000	34.756001	
HEX 93 : 420D5B23	41878937	4200F1AA	
DEC 93 : 35.339001	16.941999	32.236000	
HEX 94 : 41F00831	41429FBE	4204178D	
DEC 94 : 30.004000	12.164000	33.022999	
HEX 95 : 41F6BE77	4146B439	420270A4	
DEC 95 : 30.843000	12.419000	32.610001	
HEX 96 : 41EE9168	41768F5C	41D1E148	
DEC 96 : 29.820999	15.410000	26.235001	
HEX 97 : 41EC147B	41704189	41CB2B02	
DEC 97 : 29.510000	15.016000	25.396000	
HEX 98 : 41F5F5C3	417A5604	41CFF7CF	
DEC 98 : 30.745001	15.646000	25.996000	
HEX 99 : 41C10625	41A2F5C3	420022D1	
DEC 99 : 24.128000	20.370001	32.034000	
HEX 100 : 420FDB23	414B78D5	41EFEB85	
DEC 100 : 35.964001	12.717000	29.990000	
HEX 101 : 420D5C29	41577CEE	41F0AC08	
DEC 101 : 35.340000	13.468000	30.084000	
HEX 102 : 42065F3B	418874BC	42008419	
DEC 102 : 33.592999	17.056999	32.129002	
HEX 103 : 42057EFA	418A0419	42044CCD	
DEC 103 : 33.374001	17.252001	33.075001	
HEX 104 : 42069687	418FD0E5	41FE3F7D	
