Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 135
HEX 1 : 413DCAC1	420C126F	41FDE560	
DEC 1 : 11.862000	35.018002	31.737000	
HEX 2 : 4129FBE7	420F6666	42034CCD	
DEC 2 : 10.624000	35.849998	32.825001	
HEX 3 : 412F4BC7	420E21CB	4206C9BA	
DEC 3 : 10.956000	35.533001	33.696999	
HEX 4 : 4135F3B6	420B6042	420CE45A	
DEC 4 : 11.372000	34.844002	35.223000	
HEX 5 : 41285A1D	420AC083	420EBA5E	
DEC 5 : 10.522000	34.688000	35.681999	
HEX 6 : 41285A1D	41D776C9	41F5CAC1	
DEC 6 : 10.522000	26.933001	30.724001	
HEX 7 : 4122624E	41DBE560	41FB8106	
DEC 7 : 10.149000	27.487000	31.438000	
HEX 8 : 41320000	41D2AE14	41F9D917	
DEC 8 : 11.125000	26.334999	31.231001	
HEX 9 : 40DF6C8B	41F17CEE	41FA6E98	
DEC 9 : 6.982000	30.186001	31.304001	
HEX 10 : 40D451EC	41F65810	41F4EF9E	
DEC 10 : 6.635000	30.792999	30.617001	
HEX 11 : 40DF4396	41EA9168	41F6A1CB	
DEC 11 : 6.977000	29.320999	30.829000	
HEX 12 : 40A31AA0	41E10000	41E29168	
DEC 12 : 5.097000	28.125000	28.320999	
HEX 13 : 40860419	41E11687	41E58B44	
DEC 13 : 4.188000	28.136000	28.693001	
HEX 14 : 409F4396	41E60E56	41DCA5E3	
DEC 14 : 4.977000	28.757000	27.580999	
HEX 15 : 4113AE14	41E68937	4202570A	
DEC 15 : 9.230000	28.816999	32.584999	
HEX 16 : 4106F1AA	41E9BE77	4200B74C	
DEC 16 : 8.434000	29.218000	32.179001	
HEX 17 : 411D3B64	41EC999A	420276C9	
DEC 17 : 9.827000	29.575001	32.616001	
HEX 18 : 41361062	41FADF3B	41DA8106	
DEC 18 : 11.379000	31.358999	27.313000	
HEX 19 : 412E49BA	41F524DD	41D70419	
DEC 19 : 10.893000	30.643000	26.877001	
HEX 20 : 412ABC6A	42001687	41DB7CEE	
DEC 20 : 10.671000	32.021999	27.436001	
HEX 21 : 410A8312	41C81687	41F1F3B6	
DEC 21 : 8.657000	25.011000	30.243999	
HEX 22 : 4112BC6A	41C1D2F2	41EF9FBE	
DEC 22 : 9.171000	24.228001	29.952999	
HEX 23 : 41164189	41CD3958	41F2E354	
DEC 23 : 9.391000	25.653000	30.361000	
HEX 24 : 4137999A	41D2B439	41CFD70A	
DEC 24 : 11.475000	26.337999	25.980000	
HEX 25 : 4135EB85	41D7126F	41D65C29	
DEC 25 : 11.370000	26.884001	26.795000	
HEX 26 : 413649BA	41D85C29	41CA6042	
DEC 26 : 11.393000	27.045000	25.297001	
HEX 27 : 412FD70A	41E10419	41C05C29	
DEC 27 : 10.990000	28.127001	24.045000	
HEX 28 : 4107BE77	42083852	42031EB8	
DEC 28 : 8.484000	34.055000	32.779999	
HEX 29 : 41140831	420AA4DD	4202D2F2	
DEC 29 : 9.252000	34.660999	32.706001	
HEX 30 : 4105CED9	42073F7D	41FEB021	
DEC 30 : 8.363000	33.812000	31.836000	
HEX 31 : 40FC6A7F	41F09581	41CF3D71	
DEC 31 : 7.888000	30.073000	25.905001	
HEX 32 : 40EE978D	41E9872B	41CF624E	
DEC 32 : 7.456000	29.191000	25.923000	
HEX 33 : 41056C8B	41F02F1B	41C85A1D	
DEC 33 : 8.339000	30.023001	25.044001	
HEX 34 : 40D05A1D	41DE0419	41CA22D1	
DEC 34 : 6.511000	27.752001	25.267000	
HEX 35 : 40D3DF3B	41D6851F	41C84BC7	
DEC 35 : 6.621000	26.815001	25.037001	
HEX 36 : 40CB2B02	41E0F7CF	41C30000	
DEC 36 : 6.349000	28.121000	24.375000	
HEX 37 : 40E3B646	41DDC49C	41F145A2	
DEC 37 : 7.116000	27.721001	30.159000	
HEX 38 : 40F8CCCD	41D8DD2F	41EE5A1D	
DEC 38 : 7.775000	27.108000	29.794001	
HEX 39 : 40CF851F	41DE74BC	41EB45A2	
DEC 39 : 6.485000	27.806999	29.409000	
HEX 40 : 413EF9DB	41C7A3D7	41FF3958	
DEC 40 : 11.936000	24.955000	31.903000	
HEX 41 : 413BC28F	41C2C8B4	42028E56	
DEC 41 : 11.735000	24.348000	32.639000	
HEX 42 : 40443958	41DB1893	41CE1CAC	
DEC 42 : 3.066000	27.386999	25.764000	
HEX 43 : 404BD70A	41D91062	41C68B44	
DEC 43 : 3.185000	27.132999	24.818001	
HEX 44 : 40651EB8	41E1C8B4	41CE7EFA	
DEC 44 : 3.580000	28.223000	25.812000	
HEX 45 : 3FE9999A	41D7E148	42057DF4	
DEC 45 : 1.825000	26.985001	33.373001	
HEX 46 : 3FD53F7D	41D17EFA	42035604	
DEC 46 : 1.666000	26.187000	32.834000	
HEX 47 : 3F9147AE	41DCA9FC	4204020C	
