Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 154
HEX 1 : 41C249BA	420EB333	41AD5810	
DEC 1 : 24.285999	35.674999	21.667999	
HEX 2 : 41C574BC	420D1062	41A6E979	
DEC 2 : 24.681999	35.265999	20.864000	
HEX 3 : 41C2A1CB	420BB852	41B28106	
DEC 3 : 24.329000	34.930000	22.313000	
HEX 4 : 41E3FDF4	41EA851F	4197CCCD	
DEC 4 : 28.499001	29.315001	18.975000	
HEX 5 : 41DFD70A	41E6F1AA	419D6666	
DEC 5 : 27.980000	28.868000	19.674999	
HEX 6 : 41E99168	41E520C5	41968B44	
DEC 6 : 29.195999	28.641001	18.818001	
HEX 7 : 41EE4BC7	420E0B44	416AE560	
DEC 7 : 29.787001	35.511002	14.681000	
HEX 8 : 41C549BA	41E074BC	41947CEE	
DEC 8 : 24.660999	28.056999	18.561001	
HEX 9 : 41C8D0E5	41E6B646	41978F5C	
DEC 9 : 25.101999	28.839001	18.945000	
HEX 10 : 41C00625	41E40E56	418FE979	
DEC 10 : 24.003000	28.507000	17.989000	
HEX 11 : 41D7126F	41C053F8	41B14DD3	
DEC 11 : 26.884001	24.041000	22.163000	
HEX 12 : 41C69BA6	41FC978D	4181E76D	
DEC 12 : 24.826000	31.573999	16.238001	
HEX 13 : 41C1BE77	41F6B852	41839BA6	
DEC 13 : 24.218000	30.840000	16.451000	
HEX 14 : 41CD8106	41F8DD2F	4182EF9E	
DEC 14 : 25.688000	31.108000	16.367001	
HEX 15 : 41D6EB85	41E2F1AA	41A86042	
DEC 15 : 26.865000	28.368000	21.047001	
HEX 16 : 41D1C28F	41E826E9	41A5999A	
DEC 16 : 26.219999	29.018999	20.700001	
HEX 17 : 41D8C28F	41E67CEE	41AF28F6	
DEC 17 : 27.094999	28.811001	21.895000	
HEX 18 : 41D64189	42021375	41974189	
DEC 18 : 26.782000	32.519001	18.907000	
HEX 19 : 41DD7EFA	4201978D	419A4396	
DEC 19 : 27.687000	32.397999	19.283001	
HEX 20 : 41D80E56	4202D4FE	418FBE77	
DEC 20 : 27.007000	32.708000	17.968000	
HEX 21 : 41FECCCD	41EEC083	41919BA6	
DEC 21 : 31.850000	29.844000	18.201000	
HEX 22 : 42029062	41EADD2F	418F0625	
DEC 22 : 32.640999	29.358000	17.878000	
HEX 23 : 41FA2F1B	41E88F5C	4192FDF4	
DEC 23 : 31.273001	29.070000	18.374001	
HEX 24 : 420A25E3	4205947B	4165A9FC	
DEC 24 : 34.536999	33.395000	14.354000	
HEX 25 : 420CC189	420870A4	416651EC	
DEC 25 : 35.188999	34.110001	14.395000	
HEX 26 : 4206ED91	4207BC6A	4162B852	
DEC 26 : 33.731998	33.933998	14.170000	
HEX 27 : 41DA020C	41F3B439	41849375	
DEC 27 : 27.250999	30.462999	16.572001	
HEX 28 : 41DE7EFA	41F05E35	418A0831	
