Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 176
HEX 1 : 41A74396	41BEF9DB	4200A1CB	
DEC 1 : 20.908001	23.872000	32.158001	
HEX 2 : 41A9353F	41BA9DB2	41FB0000	
DEC 2 : 21.150999	23.327000	31.375000	
HEX 3 : 41B5BC6A	41AC49BA	4209051F	
DEC 3 : 22.716999	21.535999	34.255001	
HEX 4 : 41B79581	41A6FDF4	42064189	
DEC 4 : 22.948000	20.874001	33.563999	
HEX 5 : 41B9147B	41B2A9FC	42078625	
DEC 5 : 23.135000	22.333000	33.881001	
HEX 6 : 41ADE560	41B1DF3B	41F10000	
DEC 6 : 21.737000	22.233999	30.125000	
HEX 7 : 41A8A7F0	41AC76C9	41F34BC7	
DEC 7 : 21.082001	21.558001	30.412001	
HEX 8 : 41B33958	41AD24DD	41ED9DB2	
DEC 8 : 22.403000	21.643000	29.702000	
HEX 9 : 41BDCAC1	41BA6E98	41C1D2F2	
DEC 9 : 23.724001	23.304001	24.228001	
HEX 10 : 4184F5C3	41BD49BA	42026666	
DEC 10 : 16.620001	23.660999	32.599998	
HEX 11 : 41B33B64	41A15A1D	420E3D71	
DEC 11 : 22.403999	20.169001	35.560001	
HEX 12 : 41B9E76D	4181BA5E	420A0419	
DEC 12 : 23.238001	16.216000	34.504002	
HEX 13 : 41973958	41B2E148	4204D810	
DEC 13 : 18.903000	22.360001	33.210999	
HEX 14 : 41904396	41B653F8	420422D1	
DEC 14 : 18.033001	22.791000	33.034000	
HEX 15 : 419C3127	41B8126F	42034083	
DEC 15 : 19.524000	23.009001	32.813000	
HEX 16 : 41AEAE14	41BEFBE7	41DDA3D7	
DEC 16 : 21.834999	23.872999	27.705000	
HEX 17 : 41AB24DD	41BCF3B6	41E8BA5E	
DEC 17 : 21.393000	23.618999	29.091000	
HEX 18 : 41B95C29	41B87EFA	41D722D1	
DEC 18 : 23.170000	23.062000	26.892000	
HEX 19 : 41BA872B	41B79375	41CF6E98	
DEC 19 : 23.316000	22.947001	25.929001	
HEX 20 : 41BF0E56	41B3E354	41D9FBE7	
DEC 20 : 23.882000	22.486000	27.247999	
HEX 21 : 41A2A9FC	41B051EC	420DE45A	
DEC 21 : 20.333000	22.040001	35.473000	
HEX 22 : 419DE979	41B0999A	420ABD71	
DEC 22 : 19.739000	22.075001	34.685001	
HEX 23 : 41A94DD3	41ADEB85	420C23D7	
DEC 23 : 21.163000	21.740000	35.035000	
HEX 24 : 41A69168	4197CED9	42044AC1	
DEC 24 : 20.820999	18.976000	33.073002	
HEX 25 : 41AE49BA	41989581	4203D70A	
DEC 25 : 21.785999	19.073000	32.959999	
HEX 26 : 41A41AA0	419C3127	420149BA	
DEC 26 : 20.513000	19.524000	32.321999	
HEX 27 : 41A66C8B	41BD8F5C	420F71AA	
DEC 27 : 20.802999	23.695000	35.861000	
HEX 28 : 41BC3127	41A33333	41E81EB8	
DEC 28 : 23.524000	20.400000	29.014999	
HEX 29 : 41BFB439	419E4FDF	41ED0419	
DEC 29 : 23.962999	19.789000	29.627001	
HEX 30 : 41B04396	41864396	420EDA1D	
DEC 30 : 22.033001	16.783001	35.713001	
HEX 31 : 41B00625	418E1893	420F0C4A	
DEC 31 : 22.003000	17.761999	35.762001	
HEX 32 : 419E0C4A	41A5AE14	41F9EB85	
DEC 32 : 19.756001	20.709999	31.240000	
HEX 33 : 419B8106	41A9AC08	4200199A	
DEC 33 : 19.438000	21.209000	32.025002	
HEX 34 : 41971687	41A38D50	41F7020C	
DEC 34 : 18.886000	20.444000	30.875999	
HEX 35 : 41B5B852	41424DD3	420D3F7D	
DEC 35 : 22.715000	12.144000	35.312000	
HEX 36 : 41BBB22D	41476C8B	420B0937	
DEC 36 : 23.462000	12.464000	34.758999	
HEX 37 : 41BB9FBE	419DD2F2	4201645A	
DEC 37 : 23.452999	19.728001	32.348000	
HEX 38 : 41BDFDF4	41979BA6	41FE9375	
DEC 38 : 23.749001	18.951000	31.822001	
HEX 39 : 41498106	4183B22D	41D8645A	
DEC 39 : 12.594000	16.462000	27.049000	
HEX 40 : 4141E76D	417B020C	41DB6A7F	
DEC 40 : 12.119000	15.688000	27.427000	
HEX 41 : 41434396	4153E354	41C974BC	
DEC 41 : 12.204000	13.243000	25.181999	
HEX 42 : 414A5604	41525604	41C2872B	
DEC 42 : 12.646000	13.146000	24.316000	
HEX 43 : 41672B02	414D53F8	41F147AE	
DEC 43 : 14.448000	12.833000	30.160000	
HEX 44 : 41646666	41503958	41E9AE14	
DEC 44 : 14.275000	13.014000	29.209999	
HEX 45 : 4156CCCD	416578D5	42011DB2	
DEC 45 : 13.425000	14.342000	32.278999	
HEX 46 : 4161851F	41710625	4200B333	
DEC 46 : 14.095000	15.064000	32.174999	
HEX 47 : 415B999A	415C51EC	41FC49BA	
DEC 47 : 13.725000	13.770000	31.535999	
HEX 48 : 41611AA0	4186D2F2	41EAE354	
DEC 48 : 14.069000	16.853001	29.361000	
HEX 49 : 415CCCCD	4184126F	41E3DF3B	
DEC 49 : 13.800000	16.509001	28.483999	
HEX 50 : 4152BC6A	418774BC	41EE1EB8	
DEC 50 : 13.171000	16.931999	29.764999	
HEX 51 : 41858B44	4167374C	41E45810	
DEC 51 : 16.693001	14.451000	28.542999	
HEX 52 : 417C7AE1	4163EF9E	41E20625	
DEC 52 : 15.780000	14.246000	28.253000	
HEX 53 : 4186A7F0	415C28F6	41E9A9FC	
DEC 53 : 16.832001	13.760000	29.208000	
HEX 54 : 41839DB2	4149F7CF	42004189	
DEC 54 : 16.452000	12.623000	32.063999	
HEX 55 : 41875E35	4157CAC1	42000E56	
DEC 55 : 16.921000	13.487000	32.014000	
HEX 56 : 417ADD2F	414C8F5C	41FBDB23	
DEC 56 : 15.679000	12.785000	31.482000	
HEX 57 : 418053F8	4157B646	41C8AC08	
DEC 57 : 16.041000	13.482000	25.084000	
HEX 58 : 4186EF9E	41509FBE	41CAC28F	
DEC 58 : 16.867001	13.039000	25.344999	
HEX 59 : 417F999A	4153BE77	41C1126F	
DEC 59 : 15.975000	13.234000	24.134001	
HEX 60 : 415970A4	41898F5C	41C4A5E3	
DEC 60 : 13.590000	17.195000	24.580999	
HEX 61 : 4168D917	4187F7CF	41C4978D	
DEC 61 : 14.553000	16.996000	24.573999	
HEX 62 : 41558106	41876666	41CBF5C3	
DEC 62 : 13.344000	16.924999	25.495001	
HEX 63 : 4164624E	41593333	41DACCCD	
DEC 63 : 14.274000	13.575000	27.350000	
HEX 64 : 416E872B	415672B0	41D4F9DB	
DEC 64 : 14.908000	13.403000	26.622000	
HEX 65 : 41576873	415B2F1B	41D6999A	
DEC 65 : 13.463000	13.699000	26.825001	
HEX 66 : 41814BC7	4181AE14	41C29BA6	
DEC 66 : 16.162001	16.209999	24.326000	
HEX 67 : 4180624E	4173F3B6	41C3B852	
DEC 67 : 16.048000	15.247000	24.465000	
HEX 68 : 4185F3B6	418328F6	41C8C6A8	
DEC 68 : 16.743999	16.395000	25.097000	
HEX 69 : 417522D1	4180E354	41FD28F6	
DEC 69 : 15.321000	16.111000	31.645000	
HEX 70 : 416F1EB8	41830C4A	41F6374C	
DEC 70 : 14.945000	16.381001	30.777000	
HEX 71 : 4181E148	41836A7F	41FC2D0E	
DEC 71 : 16.235001	16.427000	31.521999	
HEX 72 : 4148CCCD	4194851F	41C024DD	
DEC 72 : 12.550000	18.565001	24.018000	
HEX 73 : 41603127	41A6E354	41D66666	
DEC 73 : 14.012000	20.861000	26.799999	
HEX 74 : 41621CAC	41A51AA0	41CEC6A8	
DEC 74 : 14.132000	20.638000	25.847000	
HEX 75 : 4168C083	41A13333	41D9B22D	
DEC 75 : 14.547000	20.150000	27.212000	
HEX 76 : 4142ED91	41AF2F1B	41FCF3B6	
DEC 76 : 12.183000	21.898001	31.618999	
HEX 77 : 41519DB2	41B022D1	41FFB22D	
DEC 77 : 13.101000	22.017000	31.962000	
HEX 78 : 417C8F5C	41B71893	41C03D71	
DEC 78 : 15.785000	22.886999	24.030001	
HEX 79 : 4178E560	41BA020C	41C74BC7	
DEC 79 : 15.556000	23.250999	24.912001	
HEX 80 : 4175B646	41B00831	41C0D0E5	
DEC 80 : 15.357000	22.004000	24.101999	
HEX 81 : 4175CAC1	41985C29	41E36042	
DEC 81 : 15.362000	19.045000	28.422001	
HEX 82 : 4170353F	419D8D50	41E89168	
DEC 82 : 15.013000	19.694000	29.070999	
HEX 83 : 416F6873	4191BA5E	41E63127	
DEC 83 : 14.963000	18.216000	28.774000	
HEX 84 : 41461CAC	41989FBE	42039893	
DEC 84 : 12.382000	19.077999	32.898998	
HEX 85 : 41478D50	41A974BC	41DCB439	
DEC 85 : 12.472000	21.181999	27.587999	
HEX 86 : 416B9168	41A2F3B6	41C1978D	
DEC 86 : 14.723000	20.368999	24.198999	
HEX 87 : 41797CEE	419F374C	41C1EF9E	
DEC 87 : 15.593000	19.902000	24.242001	
HEX 88 : 4175B22D	41B9F9DB	41D62D0E	
DEC 88 : 15.356000	23.247000	26.771999	
HEX 89 : 416BC28F	41B3FDF4	41D745A2	
DEC 89 : 14.735000	22.499001	26.909000	
HEX 90 : 418A0625	419C5810	41C3B852	
DEC 90 : 17.253000	19.542999	24.465000	
HEX 91 : 4190C6A8	41988937	41C2B439	
DEC 91 : 18.097000	19.066999	24.337999	
HEX 92 : 418BF3B6	41A151EC	41C96A7F	
DEC 92 : 17.493999	20.165001	25.177000	
HEX 93 : 415E9FBE	41BE978D	41EE28F6	
DEC 93 : 13.914000	23.823999	29.770000	
HEX 94 : 416672B0	41A8C49C	41F0147B	
DEC 94 : 14.403000	21.096001	30.010000	
HEX 95 : 4157D2F2	41A7999A	41F28312	
DEC 95 : 13.489000	20.950001	30.313999	
HEX 96 : 41656873	41B0851F	41EEC28F	
DEC 96 : 14.338000	22.065001	29.844999	
HEX 97 : 41888D50	41A0DB23	41F6E76D	
DEC 97 : 17.069000	20.107000	30.863001	
HEX 98 : 4182D0E5	41A4999A	41F32D0E	
DEC 98 : 16.351999	20.575001	30.396999	
HEX 99 : 41850419	419F9168	41FDCED9	
DEC 99 : 16.627001	19.945999	31.726000	
HEX 100 : 41432B02	4176AC08	42065F3B	
DEC 100 : 12.198000	15.417000	33.592999	
HEX 101 : 414C6E98	414AA7F0	42099893	
DEC 101 : 12.777000	12.666000	34.398998	
HEX 102 : 4145020C	41419DB2	4206FAE1	
DEC 102 : 12.313000	12.101000	33.744999	
HEX 103 : 41529BA6	41550625	42071AA0	
DEC 103 : 13.163000	13.314000	33.776001	
HEX 104 : 41841687	4176D0E5	420E20C5	
DEC 104 : 16.511000	15.426000	35.532001	
HEX 105 : 418C5C29	41A3BC6A	420FF6C9	
DEC 105 : 17.545000	20.466999	35.991001	
HEX 106 : 4150E560	4199353F	420B0312	
DEC 106 : 13.056000	19.150999	34.752998	
HEX 107 : 4142978D	419C26E9	420BC396	
DEC 107 : 12.162000	19.518999	34.941002	
HEX 108 : 41514FDF	4193BE77	420DD810	
DEC 108 : 13.082000	18.468000	35.460999	
HEX 109 : 4168CCCD	41AFB852	4203F5C3	
DEC 109 : 14.550000	21.965000	32.990002	
HEX 110 : 4175020C	41B48B44	42035810	
DEC 110 : 15.313000	22.568001	32.835999	
HEX 111 : 41701062	41A8C083	4203BB64	
DEC 111 : 15.004000	21.094000	32.932999	
HEX 112 : 4168147B	41AA8F5C	420E9FBE	
DEC 112 : 14.505000	21.320000	35.655998	
HEX 113 : 416049BA	41A426E9	420D78D5	
DEC 113 : 14.018000	20.518999	35.368000	
HEX 114 : 41698106	41AE20C5	420B27F0	
DEC 114 : 14.594000	21.766001	34.789001	
HEX 115 : 417C872B	419C74BC	4204E560	
DEC 115 : 15.783000	19.556999	33.223999	
HEX 116 : 41713333	41981CAC	420671AA	
DEC 116 : 15.075000	19.014000	33.611000	
HEX 117 : 4184B021	4199020C	42066B85	
DEC 117 : 16.586000	19.125999	33.605000	
HEX 118 : 41B820C5	416F1EB8	41F43958	
DEC 118 : 23.016001	14.945000	30.528000	
HEX 119 : 41B4E148	417AF9DB	41F08312	
DEC 119 : 22.610001	15.686000	30.063999	
HEX 120 : 41B8EB85	4164A3D7	41EE70A4	
DEC 120 : 23.115000	14.290000	29.805000	
HEX 121 : 41A0D2F2	4155FBE7	41E5CAC1	
DEC 121 : 20.103001	13.374000	28.724001	
HEX 122 : 419A9581	414E872B	41E8B22D	
